Payment_type,ACT_Male,ACT_Female,ACT_Total,NSW_Male,NSW_Female,NSW_Total,NT_Male,NT_Female,NT_Total,QLD_Male,QLD_Female,QLD_Total,SA_Male,SA_Female,SA_Total,TAS_Male,TAS_Female,TAS_Total,VIC_Male,VIC_Female,VIC_Total,WA_Male,WA_Female,WA_Total,Other_Male,Other_Female,Other_Total,Australia_Male,Australia_Female,Australia_Total,,,,,,,,,,,
Newstart Allowance,"3,421","2,504","5,925","112,762","103,608","216,370","6,919","5,101","12,020","80,674","68,248","148,922","33,362","27,638","61,000","11,727","9,422","21,149","88,443","82,919","171,362","31,147","27,960","59,107",31,21,52,"368,486","327,421","695,907",,,,,,,,,,,
Parenting Payment (Partnered),67,654,721,"3,251","31,931","35,182",69,"2,601","2,670","2,259","19,170","21,429",746,"7,014","7,760",378,"2,782","3,160","2,347","23,616","25,963",605,"7,226","7,831",<20,n.p.,77,"9,732","95,061","104,793",,,,,,,,,,,
Parenting Payment (Single),101,"2,530","2,631","4,045","77,554","81,599",144,"3,483","3,627","3,628","59,411","63,039","1,154","18,499","19,653",437,"7,131","7,568","2,294","52,530","54,824","1,171","25,360","26,531",<20,n.p.,34,"12,977","246,529","259,506",,,,,,,,,,,
Partner Allowance,<20,n.p.,34,135,"2,684","2,819",<20,n.p.,30,89,"1,582","1,671",55,876,931,33,424,457,114,"2,126","2,240",29,682,711,<20,<20,<20,459,"8,450","8,909",,,,,,,,,,,
Pensioner Concession Card,"15,031","22,618","37,649","550,756","760,776","1,311,540","10,271","14,455","24,726","325,323","447,018","772,355","145,094","198,306","343,402","51,707","68,258","119,966","404,751","575,291","980,052","132,409","194,387","326,801","2,237","2,748","4,985","1,637,579","2,283,857","3,921,476",,,,,,,,,,,
Sickness Allowance,55,43,98,"1,209",879,"2,088",31,33,64,"1,030",773,"1,803",312,280,592,111,76,187,"1,106",938,"2,044",342,289,631,<20,<20,<20,"4,198","3,312","7,510",,,,,,,,,,,
Special Benefit,27,34,61,"1,386","1,305","2,691",<20,<20,<20,239,288,527,87,139,226,21,25,46,720,762,"1,482",113,149,262,<20,<20,<20,"2,611","2,718","5,329",,,,,,,,,,,
Wife Pension (Partner on Age Pension),n/a,36,36,n/a,"2,676","2,676",n/a,29,29,n/a,"1,287","1,287",n/a,669,669,n/a,283,283,n/a,"1,868","1,868",n/a,602,602,n/a,331,331,n/a,"7,781","7,781",,,,,,,,,,,
Wife Pension (Partner on Disability Support Pension),n/a,32,32,n/a,"2,479","2,479",n/a,21,21,n/a,"1,652","1,652",n/a,773,773,n/a,334,334,n/a,"1,639","1,639",n/a,711,711,n/a,365,365,n/a,"8,006","8,006",,,,,,,,,,,
Widow Allowance,n/a,158,158,n/a,"9,265","9,265",n/a,123,123,n/a,"5,124","5,124",n/a,"1,802","1,802",n/a,781,781,n/a,"6,825","6,825",n/a,"2,063","2,063",n/a,53,53,n/a,"26,194","26,194",,,,,,,,,,,
Widow B Pension,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,440,440,n/a,456,456,,,,,,,,,,,
Youth Allowance (other),551,510,"1,061","17,287","15,159","32,446","1,385","1,125","2,510","16,278","13,358","29,636","5,512","4,510","10,022","2,243","1,761","4,004","12,235","11,574","23,809","4,980","4,409","9,389",<20,<20,<20,"60,483","52,413","112,896",,,,,,,,,,,
Youth Allowance (student and apprentice),"1,996","2,404","4,400","32,362","40,533","72,895",121,233,354,"17,765","23,641","41,406","7,914","10,034","17,948","2,330","2,740","5,070","30,922","38,310","69,232","7,004","8,738","15,742",217,330,547,"100,631","126,963","227,594",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
