Payment_type,ACT_Male,ACT_Female,ACT_Total,NSW_Male,NSW_Female,NSW_Total,NT_Male,NT_Female,NT_Total,QLD_Male,QLD_Female,QLD_Total,SA_Male,SA_Female,SA_Total,TAS_Male,TAS_Female,TAS_Total,VIC_Male,VIC_Female,VIC_Total,WA_Male,WA_Female,WA_Total,Other_Male,Other_Female,Other_Total,Australia_Male,Australia_Female,Australia_Total,,,,,,,,,,,
Health Care Card,"5,778","8,402","14,180","168,123","269,303","437,426","8,956","11,808","20,764","117,184","178,897","296,081","48,793","67,865","116,658","17,865","24,021","41,886","164,589","249,023","413,612","48,030","72,238","120,268",279,569,848,"579,597","882,126","1,461,723",,,,,,,,,,,
Low Income Card,"1,863","2,334","4,197","40,138","50,670","90,808",291,393,684,"24,309","32,368","56,677","11,588","14,253","25,841","4,557","5,305","9,862","63,113","73,004","136,117","10,397","13,634","24,031",134,155,289,"156,390","192,116","348,506",,,,,,,,,,,
Newstart Allowance,"3,069","2,185","5,254","109,285","97,881","207,166","6,464","4,755","11,219","74,818","62,922","137,740","32,140","26,023","58,163","12,022","9,138","21,160","85,404","77,914","163,318","29,818","25,947","55,765",n.p.,<20,44,<20,n.p.,"659,829",,,,,,,,,,,
Parenting Payment (Partnered),60,576,636,"3,216","31,912","35,128",68,"2,593","2,661","2,158","18,989","21,147",759,"6,934","7,693",381,"2,835","3,216","2,281","23,228","25,509",592,"7,190","7,782",<20,n.p.,93,<20,n.p.,"103,865",,,,,,,,,,,
Parenting Payment (Single),111,"2,479","2,590","3,969","76,610","80,579",150,"3,454","3,604","3,398","57,865","61,263","1,145","18,308","19,453",434,"7,083","7,517","2,195","51,870","54,065","1,098","24,818","25,916",<20,n.p.,34,<20,n.p.,"255,021",,,,,,,,,,,
Partner Allowance,<20,n.p.,36,163,"2,910","3,073",<20,n.p.,34,107,"1,719","1,826",64,953,"1,017",37,472,509,132,"2,322","2,454",31,752,783,<20,<20,<20,<20,n.p.,"9,751",,,,,,,,,,,
Pensioner Concession Card,"14,589","22,089","36,678","537,980","749,453","1,287,433","10,305","14,371","24,676","317,612","438,741","756,353","142,490","196,068","338,558","50,572","67,268","117,840","395,099","565,843","960,942","129,503","191,497","321,000","2,185","2,753","4,938","1,600,335","2,248,083","3,848,418",,,,,,,,,,,
Sickness Allowance,34,57,91,"1,207",875,"2,082",30,27,57,994,776,"1,770",329,301,630,114,85,199,"1,095",943,"2,038",342,286,628,<20,<20,<20,"4,148","3,353","7,501",,,,,,,,,,,
Special Benefit,28,44,72,"1,379","1,317","2,696",<20,<20,<20,207,270,477,89,155,244,22,25,47,710,796,"1,506",105,173,278,<20,<20,24,"2,559","2,799","5,358",,,,,,,,,,,
Wife Pension (Partner on Age Pension),n/a,38,38,n/a,"2,727","2,727",n/a,28,28,n/a,"1,324","1,324",n/a,685,685,n/a,284,284,n/a,"1,898","1,898",n/a,617,617,n/a,350,350,n/a,"7,951","7,951",,,,,,,,,,,
Wife Pension (Partner on Disability Support Pension),n/a,34,34,n/a,"2,656","2,656",n/a,25,25,n/a,"1,745","1,745",n/a,818,818,n/a,353,353,n/a,"1,763","1,763",n/a,754,754,n/a,385,385,n/a,"8,533","8,533",,,,,,,,,,,
Widow Allowance,n/a,158,158,n/a,"9,269","9,269",n/a,122,122,n/a,"5,160","5,160",n/a,"1,766","1,766",n/a,783,783,n/a,"6,770","6,770",n/a,"2,047","2,047",n/a,60,60,n/a,"26,135","26,135",,,,,,,,,,,
Widow B Pension,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,<20,<20,n/a,470,470,n/a,488,488,,,,,,,,,,,
Youth Allowance (other),483,426,909,"16,403","14,185","30,588","1,270",998,"2,268","14,794","12,493","27,287","5,250","4,237","9,487","2,209","1,692","3,901","11,865","10,857","22,722","4,804","4,061","8,865",<20,<20,<20,"57,089","48,953","106,042",,,,,,,,,,,
Youth Allowance (student and apprentice),"2,196","2,598","4,794","36,649","44,844","81,493",169,287,456,"18,288","24,352","42,640","9,060","11,136","20,196","2,781","3,193","5,974","34,945","42,762","77,707","7,812","9,591","17,403",302,345,647,"112,202","139,108","251,310",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

