Payment_type,ACT_Partnered,ACT_Not_partnered,ACT_Total,NSW_Partnered,NSW_Not_partnered,NSW_Total,NT_Partnered,NT_Not_partnered,NT_Total,QLD_Partnered,QLD_Not_partnered,QLD_Total,SA_Partnered,SA_Not_partnered,SA_Total,TAS_Partnered,TAS_Not_partnered,TAS_Total,VIC_Partnered,VIC_Not_partnered,VIC_Total,WA_Partnered,WA_Not_partnered,WA_Total,Other_Partnered,Other_Not_partnered,Other_Total,Australia_Partnered,Australia_Not_partnered,Australia_Total,,,,,,,
Parenting Payment (Partnered),n/a,n/a,636,n/a,n/a,"35,128",n/a,n/a,"2,661",n/a,n/a,"21,147",n/a,n/a,"7,693",n/a,n/a,"3,216",n/a,n/a,"25,509",n/a,n/a,"7,782",n/a,n/a,93,n/a,n/a,"103,865",,,,,,,
Parenting Payment (Single),n/a,n/a,"2,590",n/a,n/a,"80,579",n/a,n/a,"3,604",n/a,n/a,"61,263",n/a,n/a,"19,453",n/a,n/a,"7,517",n/a,n/a,"54,065",n/a,n/a,"25,916",n/a,n/a,34,n/a,n/a,"255,021",,,,,,,
Partner Allowance,n/a,n/a,36,n/a,n/a,"3,073",n/a,n/a,34,n/a,n/a,"1,826",n/a,n/a,"1,017",n/a,n/a,509,n/a,n/a,"2,454",n/a,n/a,783,n/a,n/a,<20,n/a,n/a,"9,751",,,,,,,
Pensioner Concession Card,"14,672","22,003","36,678","566,754","720,659","1,287,433","6,974","17,702","24,676","328,369","427,968","756,353","156,047","182,499","338,558","55,194","62,643","117,840","435,562","525,357","960,942","142,384","178,614","321,000","2,709","2,229","4,938","1,708,665","2,139,674","3,848,418",,,,,,,
Sickness Allowance,<20,n.p.,91,633,"1,449","2,082",<20,n.p.,57,496,"1,274","1,770",182,448,630,78,121,199,569,"1,469","2,038",162,466,628,n.p.,n.p.,<20,"2,140","5,361","7,501",,,,,,,
Special Benefit,42,n.p.,72,"1,923",n.p.,"2,696",<20,<20,<20,n.p.,276,477,n.p.,109,244,<20,n.p.,47,989,n.p.,"1,506",n.p.,141,278,<20,<20,24,"3,453",n.p.,"5,358",,,,,,,
Wife Pension (Partner on Age Pension),n.p.,<20,38,"2,696",31,"2,727",n.p.,<20,28,n.p.,<20,"1,324",n.p.,<20,685,n.p.,<20,284,n.p.,<20,"1,898",n.p.,<20,617,n.p.,<20,350,"7,868",83,"7,951",,,,,,,
Wife Pension (Partner on Disability Support Pension),n.p.,<20,34,n.p.,<20,"2,656",n.p.,<20,25,n.p.,<20,"1,745",n.p.,<20,818,n.p.,<20,353,n.p.,<20,"1,763",n.p.,<20,754,n.p.,<20,385,"8,506",n.p.,"8,533",,,,,,,
Widow Allowance,n/a,n/a,158,n/a,n/a,"9,269",n/a,n/a,122,n/a,n/a,"5,160",n/a,n/a,"1,766",n/a,n/a,783,n/a,n/a,"6,770",n/a,n/a,"2,047",n/a,n/a,60,n/a,n/a,"26,135",,,,,,,
Widow B Pension,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,470,470,<20,n.p.,488,,,,,,,
Youth Allowance (other),69,840,909,"2,190","28,398","30,588",499,"1,769","2,268","2,398","24,889","27,287",795,"8,692","9,487",381,"3,520","3,901","1,419","21,303","22,722",774,"8,091","8,865",n.p.,<20,<20,"8,525","97,517","106,042",,,,,,,
Youth Allowance (student and apprentice),167,"4,627","4,794","2,697","78,796","81,493",<20,n.p.,456,"2,223","40,417","42,640",808,"19,388","20,196",403,"5,571","5,974","2,217","75,490","77,707",544,"16,859","17,403",<20,642,647,"9,079","242,231","251,310",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

