State,Hospname,Establishment ID,Parent Id,Unit,Medicare Prov Number,Address Line 1,Address Line 2,Remoteness area (code),Remoteness area ,Number of available beds,2012-13 Peer Group code,2012-13 Peer Group Name,Admissions reported,Emergency department,Elective surgery reported,Outpatient clinics,2011-12 Peer Group code,2011-12 Peer Group Name
NSW,Gower Wilson (MPS),1172C2050, ,Hospital, ,1 Lagoon RD,Lord Howe Island 2898,4,Very remote,0.1,VS,Very small public,Yes,No,No,No,E9,Other non-acute
NSW,Waverley War Memorial,1172C2060, ,Hospital,0012590W,125 Birrell ST,Waverley 2024,0,Major Cities,35,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,E4,Rehabilitation
NSW,Prince of Wales,1172C2080, ,Hospital,0010260H,147 Barker ST,Randwick 2031,0,Major Cities,512.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,St George,1172C2130, ,Hospital,0010410J,28 Gray ST,Kogarah 2017,0,Major Cities,605.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Sutherland,1172C2140, ,Hospital,0010480W,430 Kingsway,Caringbah 2229,0,Major Cities,318.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Royal For Women,1172C2200, ,Hospital,0010070L,Barker ST,Randwick 2031,0,Major Cities,122.2,W1,Womens,Yes,No,Yes,Yes,A2,Specialist womens and childrens
NSW,Bulli,1173P2020, ,Hospital,0010850H,33A Hospital RD,Bulli 2516,0,Major Cities,56.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D2,Small non-acute
NSW,Coledale,1173P2030, ,Hospital,0010970Y,636 Lawrence Hargrave DR,Coledale 2515,0,Major Cities,38,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute
NSW,Kiama,1173P2040, ,Hospital, ,1 Bonaira ST,Kiama 2533,1,Inner Regional,20,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute
NSW,Milton and Ulladulla,1173P2050, ,Hospital,0011740F,104 Princes HWY,Milton 2538,1,Inner Regional,25.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Port Kembla,1173P2060, ,Hospital,0012480A,89-91 Cowper ST,Warrawong 2502,0,Major Cities,56.2,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E4,Rehabilitation
NSW,Shoalhaven Memorial,1173P2070, ,Hospital,0012060Y,2 Shoalhaven ST,Nowra 2541,1,Inner Regional,155.1,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Wollongong,1173P2080, ,Hospital,0012400W,348 Crown ST,Wollongong 2500,0,Major Cities,484.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Shellharbour,1173P2110, ,Hospital,0010060T,15-17 Madigan BVD,Mount Warrigal 2528,0,Major Cities,165.5,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Illawarra Mental Health Services,1173P2170, ,Hospital, ,15-17 Madigan BVD,Shellharbour Square 2529,0,Major Cities,0,O5,Unpeered,No,No,No,No,G,Un-peered and other
NSW,David Berry,1173P2910, ,Hospital,0011130J,85 Tannery RD,Berry 2535,1,Inner Regional,26,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute
NSW,Auburn,1174D2010, ,Hospital,0010020A,18-20 Hargrave RD,Auburn 2144,0,Major Cities,123.9,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Blacktown,1174D2030, ,Hospital,0012490Y,44 Blacktown RD,Blacktown 2148,0,Major Cities,336.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Mount Druitt,1174D2180, ,Hospital,0012780K,75 Railway ST,Mount Druitt 2770,0,Major Cities,133.5,M,Medium public acute,Yes,Yes,Yes,No,B1,Large Major cities
NSW,Westmead,1174D2240, ,Hospital,0012760T,166 Darcy RD,Westmead 2145,0,Major Cities,788.3,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Blue Mountains,1175D2040, ,Hospital,0010730T,Lot 3 Woodlands RD,Katoomba 2780,0,Major Cities,92.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Nepean,1175D2100, ,Hospital,0011860X,256 Derby ST,Kingswood 2747,0,Major Cities,522,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Springwood,1175D2140, ,Hospital,0012730Y,7-9 Huntley Grange RD,Springwood 2777,0,Major Cities,29.2,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute
NSW,Hawkesbury,1175D2290, ,Hospital,0017140B,Cnr Macquarie and Day St,Windsor 2756,0,Major Cities,97,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Tresillian Wentworth,1175D2300, ,Hospital, ,1b Barber AV,Kingswood 2747,0,Major Cities,35.5,O1,Early parenting centres,Yes,No,No,No,E5,Mothercraft
NSW,Wentworth Psychiatric Services,1175D2320, ,Hospital, ,Nepean Hospital,Penrith 2750,0,Major Cities,11,O5,Unpeered,No,No,No,No,G,Un-peered and other
NSW,Lithgow,1175L2130, ,Hospital,0011600W,2 Col Drewe DR,Lithgow 2790,1,Inner Regional,36.6,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Portland,1175L2200, ,Hospital,0011960T,20 Green ST,Portland 2847,1,Inner Regional,4,VS,Very small public,Yes,No,No,No,G,Un-peered and other
NSW,Greenwich,1176B2080, ,Hospital,0012510K,97-115 River RD,Greenwich 2065,0,Major Cities,78.8,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute
NSW,Neringah,1176B2090, ,Hospital,0010130W,4-12 Neringah AV,Wahroonga South 2076,0,Major Cities,19,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other
NSW,Hornsby and Ku-Ring-Gai,1176B2100, ,Hospital,0010140T,36-76 Palmerston RD,Hornsby 2077,0,Major Cities,252.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Manly,1176B2120, ,Hospital,0010220T,150 Darley RD,Manly 2095,0,Major Cities,155,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Mona Vale,1176B2140, ,Hospital,0012470B,18 Coronation ST,Mona Vale 2103,0,Major Cities,162.4,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Royal North Shore,1176B2180, ,Hospital,0010310L,1 Reserve RD,St Leonards 2065,0,Major Cities,657.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Royal Rehabilitation,1176B2210, ,Hospital,0012600J,227 Morrison RD,Ryde 2112,0,Major Cities,100,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,E4,Rehabilitation
NSW,Ryde,1176B2240, ,Hospital,0010390X,1 Denistone RD,Eastwood 2122,0,Major Cities,142.1,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Gosford,1177B2020, ,Hospital,0011270X,76 Holden ST,Gosford 2250,0,Major Cities,478.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Woy Woy,1177B2030, ,Hospital,0012650Y,7 Kathleen ST,Woy Woy 2256,0,Major Cities,24.2,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other
NSW,Long Jetty,1177B2040, ,Hospital,0012680T,Wyong Road,Long Jetty 2261,0,Major Cities,12,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other
NSW,Wyong,1177B2060, ,Hospital,0012770L,Pacific HWY,Kanwal 2259,0,Major Cities,320.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Armidale,1180J2010, ,Hospital,0010570T,226 Rusden ST,Armidale 2350,1,Inner Regional,91.9,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1)
NSW,Barraba (MPS),1180J2020, ,Hospital,0010620Y,1 Edward ST,Barraba 2347,2,Outer Regional,22,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,Bingara (MPS),1180J2030, ,Hospital,0010710X,1 Keera ST,Bingara 2404,2,Outer Regional,7,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,Boggabri (MPS),1180J2040, ,Hospital,0010740L,3 Wee Waa ST,Boggabri 2382,2,Outer Regional,19.9,VS,Very small public,Yes,Yes,No,No,G,Un-peered and other
NSW,Glen Innes,1180J2050, ,Hospital,0011240B,94 Taylor ST,Glen Innes 2370,2,Outer Regional,35.5,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute
NSW,Gunnedah,1180J2060, ,Hospital,0011370T,2 Marquis ST,Gunnedah 2380,2,Outer Regional,33.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute
NSW,Guyra (MPS),1180J2070, ,Hospital,0011380L,44-48 Sole ST,Guyra 2365,2,Outer Regional,22,S2,Other small public acute,Yes,Yes,No,No,E9,Other non-acute
NSW,Inverell,1180J2080, ,Hospital,0011460L,41-61 Swanbrook RD,Inverell 2360,2,Outer Regional,33.8,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Manilla (MPS),1180J2110, ,Hospital,0011670B,143 Court ST,Manilla 2346,2,Outer Regional,12,S2,Other small public acute,Yes,Yes,No,No,D2,Small non-acute
NSW,Moree,1180J2120, ,Hospital,0011760A,35 Alice ST,Moree 2400,2,Outer Regional,39.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Narrabri,1180J2130, ,Hospital,0011830B,11 Cameron ST,Narrabri 2390,2,Outer Regional,29.7,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute
NSW,Prince Albert Tenterfield,1180J2140, ,Hospital,0011970L,1-5 Naas ST,Tenterfield 2372,2,Outer Regional,18,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,Quirindi,1180J2150, ,Hospital,0011990J,42 Nowland ST,Quirindi 2343,2,Outer Regional,20,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,Tamworth,1180J2160, ,Hospital,0012090T,31 Dean ST,North Tamworth 2340,1,Inner Regional,246,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Tingha (MPS),1180J2170, ,Hospital,0012130A,1 Inverell RD,Tingha 2369,2,Outer Regional,0,OT,Outpatient hospital,No,Yes,No,No,G,Un-peered and other
NSW,Vegetable Creek (MPS),1180J2180, ,Hospital,0012240W,13-33 Glen Innes RD,Emmaville 2371,2,Outer Regional,17,VS,Very small public,Yes,Yes,No,No,G,Un-peered and other
NSW,Walcha (MPS),1180J2190, ,Hospital,0012270K,7 South ST,Walcha 2354,2,Outer Regional,9,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,Warialda (MPS),1180J2200, ,Hospital,0012300Y,146 Long ST,Warialda 2402,2,Outer Regional,10.8,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,Wee Waa,1180J2210, ,Hospital,0012330T,60 Alma ST,Wee Waa 2388,2,Outer Regional,14,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,Werris Creek,1180J2220, ,Hospital,0012370H,22-34 North ST,Werris Creek 2341,1,Inner Regional,13.6,VS,Very small public,Yes,Yes,No,No,G,Un-peered and other
NSW,Bulahdelah - Myall Lakes,1180J2230, ,Hospital,0010840J,1 Richmond ST,Bulahdelah 2423,1,Inner Regional,0,VS,Very small public,No,Yes,No,No,G,Un-peered and other
NSW,Gloucester,1180J2240, ,Hospital,0011250A,166 Church ST,Gloucester 2422,1,Inner Regional,19.5,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute
NSW,Manning,1180J2250, ,Hospital,0011680A,26 York ST,Taree 2430,1,Inner Regional,167.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Wingham,1180J2260, ,Hospital,0012610H,32 Bungay RD,Wingham 2429,1,Inner Regional,32,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,E4,Rehabilitation
NSW,Cessnock,1180Q2020, ,Hospital,0010940F,Lot 1 View ST,Cessnock 2325,1,Inner Regional,50,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Dungog,1180Q2030, ,Hospital,0011190X,58 Hospital RD,Dungog 2420,1,Inner Regional,15,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,Kurri Kurri,1180Q2050, ,Hospital,0011540L,432 Lang ST,Kurri Kurri 2327,0,Major Cities,42.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D2,Small non-acute
NSW,Maitland,1180Q2060, ,Hospital,0011650H,550 High ST,Maitland 2320,0,Major Cities,194,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Merriwa (MPS),1180Q2080, ,Hospital,0011720J,1 Mackenzie ST,Merriwa 2329,2,Outer Regional,8,VS,Very small public,Yes,Yes,No,No,G,Un-peered and other
NSW,Muswellbrook,1180Q2090, ,Hospital,0010800W,36 Brentwood ST,Muswellbrook 2333,1,Inner Regional,47,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Denman (MPS),1180Q2100, ,Hospital,0010810T,51-53 Ogilvie ST,Denman 2328,1,Inner Regional,17,VS,Very small public,No,Yes,No,No,G,Un-peered and other
NSW,Calvary Mater Newcastle,1180Q2110, ,Hospital,0011870W,4 Edith ST,Waratah 2298,0,Major Cities,178,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Belmont,1180Q2140, ,Hospital,0012550B,16 Croudace Bay RD,Belmont 2280,0,Major Cities,98.6,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1)
NSW,Scott Memorial Scone,1180Q2160, ,Hospital,0012050A,24 Stafford ST,Scone 2337,1,Inner Regional,29,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute
NSW,Singleton,1180Q2170, ,Hospital,0012070X,Lot 20 Dangar RD,Singleton 2330,1,Inner Regional,47.4,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Murrurundi,1180Q2190, ,Hospital,0012390B,59 O'Connell ST,Murrurundi 2338,2,Outer Regional,18,S2,Other small public acute,Yes,Yes,No,No,G,Un-peered and other
NSW,Tomaree Community,1180Q2250, ,Hospital,0010000F,2 Trevally ST,Nelson Bay 2315,1,Inner Regional,14,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,John Hunter,1180Q2300, ,Hospital,0012790J,156 Kookaburra CCT,New Lambton Heights 2305,0,Major Cities,761.3,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Ballina,1181H2010, ,Hospital,0010580L,78-92 Cherry ST,Ballina 2478,1,Inner Regional,68.8,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Byron Bay,1181H2040, ,Hospital,0010860F,10 Shirley ST,Byron Bay 2481,1,Inner Regional,19,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute
NSW,Campbell Coraki,1181H2050, ,Hospital,0010880A,1 Spring ST,Coraki 2471,1,Inner Regional,0.1,VS,Very small public,No,No,No,No,G,Un-peered and other
NSW,Casino,1181H2060, ,Hospital,0010920J,1 Hotham ST,Casino 2470,1,Inner Regional,29.1,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Bonalbo,1181H2070, ,Hospital,0010760J,1 Hospital RD,Bonalbo 2469,2,Outer Regional,0,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other
NSW,Grafton,1181H2100, ,Hospital,0011300H,174 Arthur ST,Grafton 2460,1,Inner Regional,97.3,M,Medium public acute,Yes,Yes,Yes,Yes,B2,Large regional and remote
NSW,Kyogle (MPS),1181H2130, ,Hospital,0011550K,199 Sumerland Way,Kyogle 2474,1,Inner Regional,36.9,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute
NSW,Lismore,1181H2140, ,Hospital,0011590B,60 Uralba ST,Lismore 2480,1,Inner Regional,249,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Nimbin (MPS),1181H2150, ,Hospital,0011890L,87 Cullen ST,Nimbin 2480,1,Inner Regional,12.6,VS,Very small public,Yes,No,No,No,G,Un-peered and other
NSW,Maclean,1181H2170, ,Hospital,0011630K,21 Union ST,Maclean 2463,1,Inner Regional,37.2,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Mullumbimby,1181H2200, ,Hospital,0011800J,1-3 Azalea ST,Mullumbimby 2482,1,Inner Regional,19,S1,Small public acute with surgery/obstetrics,Yes,Yes,No,No,D1,Small regional acute
NSW,Murwillumbah,1181H2210, ,Hospital,0012210A,8 Ewing ST,Murwillumbah 2484,1,Inner Regional,70.8,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C1,Medium (group 1)
NSW,St. Vincent's Lismore,1181H2220, ,Hospital,0012040B,20 Dalley AV,Lismore 2480,1,Inner Regional,0,O5,Unpeered,No,No,No,No,E4,Rehabilitation
NSW,The Tweed Hospital,1181H2230, ,Hospital,0012690L,14 Powell ST,Tweed Heads 2485,0,Major Cities,229.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Urbenville (MPS),1181H2240, ,Hospital,0012230X,45 Beaury ST,Urbenville 2475,2,Outer Regional,22,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services
NSW,Riverlands Drug and Alcohol Centre,1181H2670, ,Hospital,0011590B,Cnr Uralba & Hunter Streets,Lismore 2480,1,Inner Regional,14,O2,Drug and alcohol hospital,Yes,No,No,No,G,Un-peered and other
NSW,Bellinger River,1182H2030, ,Hospital,0010680J,43 Church ST,Bellingen 2454,2,Outer Regional,30.4,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute
NSW,Coffs Harbour,1182H2080, ,Hospital,0010960A,345 Pacific HWY,Coffs Harbour 2450,1,Inner Regional,254,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Dorrigo (MPS),1182H2090, ,Hospital,0011160B,14 Beech ST,Dorrigo 2453,2,Outer Regional,27,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services
NSW,Macleay Valley - Kempsey,1182H2120, ,Hospital,0011640J,119 River ST,Kempsey 2440,1,Inner Regional,68.1,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1)
NSW,Macksville,1182H2160, ,Hospital,0011820F,14-22 Boundary ST,Macksville 2447,2,Outer Regional,46.2,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2)
NSW,Wauchope,1182H2250, ,Hospital,0012320W,69 High ST,Wauchope 2446,1,Inner Regional,32.2,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute
NSW,Port Macquarie,1182H2720, ,Hospital, ,1-31 Wrights RD,Port Macquarie 2444,1,Inner Regional,169.6,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Batemans Bay,1183N2010, ,Hospital,0010640W,7 Pacific ST,Batemans Bay 2536,1,Inner Regional,38.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2)
NSW,Bega,1183N2020, ,Hospital,0010670K,1 McKee DR,Bega 2550,2,Outer Regional,70.1,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1)
NSW,Bombala,1183N2030, ,Hospital,0010750K,126 Wellington ST,Bombala 2632,2,Outer Regional,18.3,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute
NSW,Braidwood (MPS),1183N2050, ,Hospital,0010790B,77 Monkittee ST,Braidwood 2622,1,Inner Regional,32,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services
NSW,Cooma HS,1183N2060, ,Hospital,0011010W,1 Bent ST,Cooma 2630,1,Inner Regional,39.5,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2)
NSW,Crookwell,1183N2070, ,Hospital,0011100T,17 Kialla RD,Crookwell 2583,1,Inner Regional,18,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute
NSW,Delegate (MPS),1183N2080, ,Hospital,0011140H,15 Craigie ST,Delegate 2633,2,Outer Regional,13,VS,Very small public,No,No,No,No,E2,Multi-purpose services
NSW,Goulburn,1183N2090, ,Hospital,0011280W,130 Goldsmith ST,Goulburn 2580,1,Inner Regional,108.9,M,Medium public acute,Yes,Yes,Yes,Yes,B2,Large regional and remote
NSW,Moruya,1183N2110, ,Hospital,0011780X,2-10 River ST,Moruya 2537,1,Inner Regional,59.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C1,Medium (group 1)
NSW,Pambula,1183N2140, ,Hospital,0011930Y,1 Merimbola ST,Pambula 2549,2,Outer Regional,29.8,S2,Other small public acute,Yes,No,Yes,No,D1,Small regional acute
NSW,Queanbeyan,1183N2150, ,Hospital,0011980K,16 Erin ST,Queanbeyan 2620,0,Major Cities,45.2,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2)
NSW,Bourke Street Health Service,1183N2160, ,Hospital,0012020H,234 Bourke ST,Goulburn 2580,1,Inner Regional,49.1,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute
NSW,Yass,1183N2170, ,Hospital,0012420L,145 Meehan ST,Yass 2582,1,Inner Regional,10,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute
NSW,Lake Cargelligo (MPS),1184L2120, ,Hospital,0011560J,1 Uabba ST,Lake Cargelligo 2672,3,Remote,22,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services
NSW,Wyalong,1184L2260, ,Hospital,0012410T,70 Ungarie RD,West Wyalong 2671,2,Outer Regional,22,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute
NSW,Barham Koondrook,1184M2030, ,Hospital,0010610A,70 Punt RD,Barham 2732,2,Outer Regional,18,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute
