Payment_type,ACT_Under_16,ACT_16_24,ACT_24_and_under,ACT_25_34,ACT_35_44,ACT_45_54,ACT_55_64,ACT_65_and_over,ACT_Total,NSW_Under_16,NSW_16_24,NSW_24_and_under,NSW_25_34,NSW_35_44,NSW_45_54,NSW_55_64,NSW_65_and_over,NSW_Total,NT_Under_16,NT_16_24,NT_24_and_under,NT_25_34,NT_35_44,NT_45_54,NT_55_64,NT_65_and_over,NT_Total,QLD_Under_16,QLD_16_24,QLD_24_and_under,QLD_25_34,QLD_35_44,QLD_45_54,QLD_55_64,QLD_65_and_over,QLD_Total,SA_Under_16,SA_16_24,SA_24_and_under,SA_25_34,SA_35_44,SA_45_54,SA_55_64,SA_65_and_over,SA_Total,TAS_Under_16,TAS_16_24,TAS_24_and_under,TAS_25_34,TAS_35_44,TAS_45_54,TAS_55_64,TAS_65_and_over,TAS_Total,VIC_Under_16,VIC_16_24,VIC_24_and_under,VIC_25_34,VIC_35_44,VIC_45_54,VIC_55_64,VIC_65_and_over,VIC_Total,WA_Under_16,WA_16_24,WA_24_and_under,WA_25_34,WA_35_44,WA_45_54,WA_55_64,WA_65_and_over,WA_Total,Other_Under_16,Other_16_24,Other_24_and_under,Other_25_34,Other_35_44,Other_45_54,Other_55_64,Other_65_and_over,Other_Total,Australia_Under_16,Australia_16_24,Australia_24_and_under,Australia_25_34,Australia_35_44,Australia_45_54,Australia_55_64,Australia_65_and_over,Australia_Total,,,,,,,
Family Tax Benefit A,<20,980,,"5,057","6,680","3,104",349,n.p.,"16,235",36,"28,605",,"140,106","200,171","101,396","14,275","2,959","487,548",23,"2,605",,"6,360","5,607","2,503",661,252,"18,011",31,"27,206",,"103,146","132,203","59,502","7,620","1,943","331,651",<20,"7,145",,"35,680","49,107","24,219","2,910",n.p.,"119,654",<20,"3,222",,"12,949","16,402","8,059","1,058",n.p.,"41,899",24,"17,278",,"105,703","164,968","85,143","9,749","1,648","384,513",<20,"11,145",,"43,643","53,418","24,348","3,269",n.p.,"136,643",,<20,,270,639,377,48,20,"1,361",150,"98,193",,"452,914","629,195","308,651","39,939","8,473","1,537,515",,,,,,,
Family Tax Benefit B,<20,916,,"4,637","6,306","2,948",340,n.p.,"15,205",33,"27,424",,"125,605","169,108","85,137","12,699","2,678","422,684",23,"2,532",,"5,902","4,893","2,280",612,235,"16,477",31,"26,035",,"93,208","110,857","49,264","6,754","1,727","287,876",<20,"6,875",,"31,139","39,258","19,413","2,570",n.p.,"99,791",<20,"3,041",,"11,179","12,898","6,430",931,n.p.,"34,670",23,"16,492",,"94,123","138,488","69,423","8,521","1,471","328,541",<20,"11,009",,"43,255","48,954","21,370","3,003",n.p.,"128,338",,<20,,128,372,236,31,<20,780,146,"94,327",,"409,176","531,134","256,501","35,461","7,617","1,334,362",,,,,,,
Health Care Card,<20,"4,810",,"3,252","3,398","2,113",946,n.p.,"14,654",286,"111,376",,"94,865","107,011","70,951","41,413","4,681","430,583",<20,"5,728",,"6,575","5,039","2,954","1,258",n.p.,"21,750",248,"83,915",,"67,505","70,730","44,443","29,336","3,119","299,296",150,"33,078",,"26,057","26,661","17,795","10,273",823,"114,837",76,"11,313",,"8,770","8,681","6,190","4,869",537,"40,436",129,"125,126",,"83,439","91,539","61,215","38,828","8,261","408,537",116,"31,848",,"28,423","29,035","18,710","10,882","1,387","120,401",,153,,126,222,167,86,31,786,"1,024","407,347",,"319,012","342,316","224,538","137,891","19,152","1,451,280",,,,,,,
Low Income Card,<20,"2,723",,500,148,115,282,n.p.,"3,827",118,"52,064",,"8,203","2,749","4,023","12,301","2,245","81,703",<20,383,,113,38,50,70,<20,671,62,"31,347",,"5,511","1,926","2,533","9,643","1,721","52,743",111,"15,090",,"2,462",824,"1,081","2,904",409,"22,881",41,"4,656",,791,347,592,"1,919",390,"8,736",46,"78,642",,"12,513","4,251","5,811","17,096","6,908","125,267",68,"13,329",,"2,508",822,"1,056","3,300",827,"21,910",,112,,<20,<20,27,39,20,217,450,"198,346",,"32,615","11,110","15,288","47,554","12,592","317,955",,,,,,,
Newstart Allowance,<20,797,,"1,661","1,477","1,238",752,<20,"5,925",<20,"20,982",,"46,876","52,858","52,702","42,952",<20,"216,370",<20,"1,418",,"4,064","3,325","2,165","1,048",<20,"12,020",<20,"15,863",,"35,538","36,968","32,805","27,748",<20,"148,922",<20,"6,673",,"14,784","14,448","13,849","11,246",<20,"61,000",<20,"2,244",,"4,872","5,107","4,536","4,390",<20,"21,149",<20,"18,699",,"39,683","42,366","38,978","31,636",<20,"171,362",<20,"5,769",,"14,696","15,864","13,096","9,682",<20,"59,107",<20,<20,,<20,<20,<20,<20,<20,52,<20,"72,451",,"162,191","172,425","159,376","129,464",<20,"695,907",,,,,,,
Parenting Payment (Partnered),<20,128,,352,226,<20,<20,<20,721,<20,"5,024",,"17,316","11,374","1,283",183,<20,"35,182",<20,926,,"1,234",443,50,<20,<20,"2,670",<20,"4,818",,"9,966","5,794",735,116,<20,"21,429",<20,"1,411",,"3,852","2,219",252,26,<20,"7,760",<20,666,,"1,592",786,98,<20,<20,"3,160",<20,"3,380",,"12,769","8,735",960,119,<20,"25,963",<20,"1,660",,"3,718","2,142",266,45,<20,"7,831",<20,<20,,26,42,n.p.,n.p.,<20,77,<20,"18,017",,"50,825","31,761","3,661",527,<20,"104,793",,,,,,,
Parenting Payment (Single),<20,535,,"1,260",715,111,<20,<20,"2,631",n.p.,"16,218",,"36,896","24,254","3,756",442,<20,"81,599",24,"1,074",,"1,581",765,147,n.p.,<20,"3,627",n.p.,"14,094",,"28,650","17,397","2,547",311,<20,"63,039",<20,"3,878",,"9,392","5,506",788,73,<20,"19,653",<20,"1,800",,"3,652","1,823",259,26,<20,"7,568",<20,"8,959",,"24,534","18,329","2,739",245,<20,"54,824",<20,"5,919",,"12,280","7,117","1,056",140,<20,"26,531",<20,<20,,<20,<20,<20,<20,<20,34,n.p.,"52,477",,"118,261","75,920","11,407","1,281",<20,"259,506",,,,,,,
Partner Allowance,<20,<20,,<20,<20,<20,34,<20,34,<20,<20,,<20,<20,<20,"2,808",<20,"2,819",<20,<20,,<20,<20,<20,30,<20,30,<20,<20,,<20,<20,<20,"1,661",<20,"1,671",<20,<20,,<20,<20,<20,929,<20,931,<20,<20,,<20,<20,<20,457,<20,457,<20,<20,,<20,<20,<20,"2,233",<20,"2,240",<20,<20,,<20,<20,<20,710,<20,711,<20,<20,,<20,<20,<20,<20,<20,<20,<20,<20,,<20,<20,<20,"8,878",31,"8,909",,,,,,,
Pensioner Concession Card,<20,n.p.,,"2,988","3,235","3,052","3,572","23,255","37,649",41,"44,356",,"84,881","107,138","122,456","171,253","781,415","1,311,540",23,"1,881",,"3,448","3,695","3,611","3,795","8,273","24,726",60,"32,259",,"58,700","67,377","69,265","98,795","445,899","772,355",20,"10,438",,"22,320","26,962","32,236","43,492","207,934","343,402",<20,n.p.,,"8,595","9,946","11,530","17,457","67,831","119,966",29,"29,572",,"60,844","81,839","87,911","122,312","597,545","980,052",20,"11,621",,"22,745","25,256","25,472","36,925","204,762","326,801",,31,,94,104,162,385,"4,209","4,985",202,"136,303",,"264,615","325,552","355,695","497,986","2,341,123","3,921,476",,,,,,,
Sickness Allowance,<20,<20,,23,29,<20,<20,<20,98,<20,118,,393,436,632,509,<20,"2,088",<20,<20,,<20,<20,<20,<20,<20,64,<20,115,,338,410,524,416,<20,"1,803",<20,41,,96,142,173,140,<20,592,<20,<20,,39,52,47,37,<20,187,<20,111,,392,453,597,491,<20,"2,044",<20,42,,134,130,171,154,<20,631,<20,<20,,n.p.,n.p.,<20,<20,<20,<20,<20,458,,"1,429","1,672","2,179","1,772",<20,"7,510",,,,,,,
Special Benefit,n.p,n.p,<20,<20,<20,<20,<20,49,61,n.p,n.p,225,134,77,42,28,"2,185","2,691",n.p,n.p,<20,<20,<20,<20,<20,<20,<20,n.p,n.p,204,53,29,n.p.,<20,215,527,n.p,n.p,64,31,<20,<20,<20,100,226,n.p,n.p,36,<20,<20,<20,<20,<20,46,n.p,n.p,148,127,61,27,20,"1,099","1,482",n.p,n.p,54,26,<20,<20,<20,160,262,n.p,n.p,<20,<20,<20,<20,<20,<20,<20,n.p,n.p,745,378,198,107,64,"3,837","5,329",,,,,,,
Wife Pension (Partner on Age Pension),<20,<20,,<20,<20,<20,26,<20,36,<20,<20,,<20,<20,203,"2,120",347,"2,676",<20,<20,,<20,<20,<20,20,<20,29,<20,<20,,<20,<20,130,996,154,"1,287",<20,<20,,<20,<20,42,515,105,669,<20,<20,,<20,<20,24,214,44,283,<20,<20,,<20,<20,93,"1,482",288,"1,868",<20,<20,,<20,<20,41,485,73,602,,<20,,<20,<20,<20,137,178,331,<20,<20,,<20,29,558,"5,995","1,199","7,781",,,,,,,
Wife Pension (Partner on Disability Support Pension),<20,<20,,<20,<20,<20,20,<20,32,<20,<20,,<20,74,839,"1,464",102,"2,479",<20,<20,,<20,<20,<20,<20,<20,21,<20,<20,,<20,69,547,965,71,"1,652",<20,<20,,<20,31,216,492,34,773,<20,<20,,<20,<20,101,205,<20,334,<20,<20,,<20,51,466,"1,059",63,"1,639",<20,<20,,<20,<20,205,453,38,711,,<20,,<20,<20,42,280,40,365,<20,<20,,<20,261,"2,430","4,948",367,"8,006",,,,,,,
Widow Allowance,<20,<20,,<20,<20,<20,132,26,158,<20,<20,,<20,<20,<20,"8,120","1,145","9,265",<20,<20,,<20,<20,<20,117,<20,123,<20,<20,,<20,<20,<20,"4,915",209,"5,124",<20,<20,,<20,<20,<20,"1,708",94,"1,802",<20,<20,,<20,<20,<20,771,<20,781,<20,<20,,<20,<20,<20,"6,117",708,"6,825",<20,<20,,<20,<20,<20,"1,928",135,"2,063",<20,<20,,<20,<20,<20,37,<20,53,<20,<20,,<20,<20,<20,"23,845","2,349","26,194",,,,,,,
Widow B Pension,n/a,n/a,,n/a,n/a,n/a,n/a,<20,<20,n/a,n/a,,n/a,n/a,n/a,n/a,<20,<20,n/a,n/a,,n/a,n/a,n/a,n/a,<20,<20,n/a,n/a,,n/a,n/a,n/a,n/a,<20,<20,n/a,n/a,,n/a,n/a,n/a,n/a,<20,<20,n/a,n/a,,n/a,n/a,n/a,n/a,<20,<20,n/a,n/a,,n/a,n/a,n/a,n/a,<20,<20,n/a,n/a,,n/a,n/a,n/a,n/a,<20,<20,n/a,n/a,,n/a,n/a,n/a,n/a,440,440,n/a,n/a,,n/a,n/a,n/a,n/a,456,456,,,,,,,
Youth Allowance (other),<20,"1,060",,<20,<20,<20,<20,<20,"1,061",<20,"32,445",,<20,<20,<20,<20,<20,"32,446",<20,"2,510",,<20,<20,<20,<20,<20,"2,510",<20,"29,630",,<20,<20,<20,<20,<20,"29,636",<20,"10,022",,<20,<20,<20,<20,<20,"10,022",<20,"4,003",,<20,<20,<20,<20,<20,"4,004",<20,"23,809",,<20,<20,<20,<20,<20,"23,809",<20,"9,389",,<20,<20,<20,<20,<20,"9,389",<20,<20,,<20,<20,<20,<20,<20,<20,<20,"112,887",,<20,<20,<20,<20,<20,"112,896",,,,,,,
Youth Allowance (student and apprentice),<20,"4,168",,232,<20,<20,<20,<20,"4,400",<20,"69,777",,"3,115",<20,<20,<20,<20,"72,895",<20,329,,25,<20,<20,<20,<20,354,26,"39,410",,"1,970",<20,<20,<20,<20,"41,406",<20,"17,112",,836,<20,<20,<20,<20,"17,948",<20,"4,895",,175,<20,<20,<20,<20,"5,070",<20,"66,215",,"3,017",<20,<20,<20,<20,"69,232",<20,"14,920",,821,<20,<20,<20,<20,"15,742",<20,517,,30,<20,<20,<20,<20,547,30,"217,343",,"10,221",<20,<20,<20,<20,"227,594",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
