LGA,LGA name,ABSTUDY_Living_allowance,ABSTUDY_Non_living_allowance,Age_Pension,Austudy,Carer_Allowance,Carer_Allowance_Child_Health_Care_Card_only,Carer_Payment,Commonwealth_Seniors_Health_Card,Double_Orphan_Pension,Disability_Support_Pension,Family_Tax_Benefit_Part_A,Family_Tax_Benefit_Part_B,Health_Care_Card,Low_Income_Card,Newstart_Allowance,Parenting_Payment_Partnered,Parenting_Payment_Single,Partner_Allowance,Pensioner_Concession_Card,Sickness_Allowance,Special_Benefit,Wife_Pension_Partner_on_Age_Pension,Wife_Pension_Partner_on_Disability_Support_Pension,Widow_Allowance,Widow_B_Pension,Youth_Allowance_other,Youth_Allowance_student_and_apprentice
14450,Kogarah (C),<20,<20,"5,129",97,"1,245",43,448,"1,150",<20,983,"3,223","2,709","2,735",587,"1,157",232,286,<20,"7,374",<20,82,<20,<20,81,<20,62,526
14500,Ku-ring-gai (A),<20,31,"6,690",158,"1,096",51,156,"4,461",<20,768,"2,578","2,283","2,550",632,774,107,145,<20,"8,030",<20,23,<20,<20,56,<20,43,763
14550,Kyogle (A),<20,<20,"1,286",<20,324,<20,188,158,<20,777,851,692,848,97,583,74,159,<20,"2,673",<20,<20,<20,<20,<20,<20,77,33
14600,Lachlan (A),20,57,808,<20,200,<20,88,137,<20,338,570,465,443,48,201,34,130,<20,"1,424",<20,<20,<20,<20,<20,<20,40,<20
14650,Lake Macquarie (C),94,230,"29,102",330,"6,892",199,"2,729","2,539",<20,"9,505","13,026","11,490","11,247","2,104","5,755",599,"2,605",134,"46,562",74,<20,82,101,224,<20,"1,159","1,478"
14700,Lane Cove (A),<20,23,"1,740",53,311,<20,55,843,<20,347,756,718,719,180,304,28,59,<20,"2,338",<20,<20,<20,<20,21,<20,<20,229
14750,Leeton (A),<20,38,"1,366",<20,361,22,157,184,<20,498,987,754,718,77,355,64,195,<20,"2,380",<20,<20,<20,<20,<20,<20,88,43
14800,Leichhardt (A),23,<20,"3,403",155,595,<20,191,670,<20,"1,352","1,312","1,246","1,673",442,978,45,197,<20,"5,453",20,<20,<20,<20,24,<20,89,478
14850,Lismore (C),51,110,"5,061",284,"1,280",76,553,584,<20,"3,145","4,233","3,472","4,202",828,"2,346",328,842,<20,"10,640",<20,<20,<20,24,79,<20,412,721
14870,Lithgow (C),<20,22,"3,244",<20,755,20,331,203,<20,"1,337","1,403","1,328","1,490",178,982,106,376,<20,"5,642",<20,<20,<20,<20,31,<20,192,83
14900,Liverpool (C),34,123,"14,724",337,"8,781",421,"5,306",923,<20,"7,805","18,167","15,866","14,845","2,930","7,068","1,852","2,707",84,"34,112",53,141,105,71,291,<20,871,"2,774"
14920,Liverpool Plains (A),<20,34,"1,147",<20,275,<20,127,127,<20,424,633,557,577,60,349,39,149,<20,"1,973",<20,<20,<20,<20,<20,<20,77,<20
14950,Lockhart (A),<20,<20,397,<20,95,<20,39,78,<20,138,231,174,156,20,70,<20,33,<20,635,<20,<20,<20,<20,<20,<20,<20,<20
15050,Maitland (C),24,94,"7,505",94,"2,452",94,995,441,<20,"3,420","5,378","5,109","4,384",613,"2,141",295,"1,233",35,"14,157",23,<20,32,41,75,<20,512,403
15150,Manly (A),<20,<20,"2,194",73,320,<20,77,"1,208",<20,508,908,845,793,189,352,32,112,<20,"3,036",<20,<20,<20,<20,20,<20,21,230
15200,Marrickville (A),43,59,"6,785",451,"1,652",31,708,532,<20,"2,670","3,166","2,930","4,626","1,300","2,760",167,490,23,"11,648",23,21,40,<20,90,<20,224,"1,454"
15270,Mid-Western Regional (A),<20,<20,"3,098",<20,737,28,342,373,<20,"1,148","1,603","1,529","1,551",192,794,145,348,<20,"5,218",<20,<20,<20,<20,31,<20,158,67
15300,Moree Plains (A),55,187,"1,082",<20,375,<20,194,173,<20,741,"1,295","1,133","1,117",81,670,59,436,<20,"2,645",<20,<20,<20,<20,<20,<20,178,28
15350,Mosman (A),<20,<20,"1,310",28,214,<20,28,839,<20,201,478,456,449,95,202,<20,48,<20,"1,665",<20,<20,<20,<20,<20,<20,<20,128
15500,Murray (A),<20,<20,"1,515",<20,279,<20,99,179,<20,271,566,425,426,93,228,26,97,<20,"2,111",<20,<20,<20,<20,<20,<20,29,26
15550,Murrumbidgee (A),<20,<20,241,<20,88,<20,32,43,<20,103,222,178,150,21,61,<20,52,<20,459,<20,<20,<20,<20,<20,<20,<20,<20
15650,Muswellbrook (A),<20,22,"1,277",<20,293,<20,112,149,<20,616,"1,108","1,135",935,70,550,67,345,<20,"2,571",<20,<20,<20,<20,20,<20,130,35
15700,Nambucca (A),21,103,"3,862",30,"1,020",28,551,286,<20,"1,634","1,787","1,474","1,776",215,"1,153",149,422,24,"7,044",<20,<20,20,26,47,<20,205,73
15750,Narrabri (A),21,69,"1,527",<20,354,<20,137,150,<20,573,"1,063",905,905,93,541,71,272,<20,"2,713",<20,<20,<20,<20,<20,<20,128,27
15800,Narrandera (A),<20,47,854,<20,260,<20,112,116,<20,312,526,414,388,30,210,29,138,<20,"1,505",<20,<20,<20,<20,<20,<20,51,<20
15850,Narromine (A),<20,59,853,<20,160,<20,65,138,<20,266,560,481,451,43,266,33,164,<20,"1,436",<20,<20,<20,<20,<20,<20,50,<20
15900,Newcastle (C),145,164,"17,868",611,"4,253",117,"1,622","1,440",<20,"8,425","9,001","8,117","10,990","2,937","5,418",509,"1,770",62,"31,631",44,<20,56,42,158,<20,"1,004","3,620"
15950,North Sydney (A),<20,<20,"3,034",123,339,<20,77,"1,509",<20,689,"1,020","1,029","1,171",321,626,45,102,<20,"4,132",<20,<20,<20,<20,37,<20,27,356
16100,Oberon (A),<20,<20,617,<20,138,<20,69,113,<20,232,369,315,299,52,156,21,65,<20,"1,053",<20,<20,<20,<20,<20,<20,33,<20
16150,Orange (C),32,126,"4,409",73,994,62,360,423,<20,"2,050","3,025","2,662","2,366",394,"1,115",171,767,<20,"8,043",<20,<20,<20,<20,32,<20,270,399
16180,Palerang (A),<20,<20,"1,017",<20,197,<20,47,252,<20,261,622,541,480,64,221,29,102,<20,"1,502",<20,<20,<20,<20,<20,<20,27,47
16200,Parkes (A),<20,55,"1,933",<20,542,28,204,272,<20,856,"1,246","1,048","1,076",119,567,104,276,<20,"3,487",<20,<20,<20,<20,<20,<20,115,48
16250,Parramatta (C),26,53,"15,102",496,"4,888",197,"2,803","1,713",<20,"6,479","13,925","12,295","12,568","2,484","5,819","1,556","1,406",59,"28,470",57,165,110,79,284,<20,569,"2,420"
16350,Penrith (C),78,234,"14,939",316,"5,679",517,"2,195","1,010",<20,"6,514","15,553","13,510","11,609","1,744","5,578",755,"3,243",40,"29,585",59,42,74,73,224,<20,"1,036","1,472"
16370,Pittwater (A),<20,<20,"5,103",83,659,31,135,"1,908",<20,607,"2,210","1,841","1,490",322,580,59,220,<20,"6,330",<20,<20,<20,<20,39,<20,42,316
16380,Port Macquarie-Hastings (A),41,137,"15,066",126,"3,210",58,"1,294","1,349",<20,"4,044","6,008","4,865","5,467",743,"3,046",411,"1,023",60,"22,745",24,<20,37,47,105,<20,546,415
16400,Port Stephens (A),21,65,"10,312",87,"2,488",88,"1,004",966,<20,"3,279","5,162","4,526","4,209",597,"2,180",305,990,41,"16,483",36,<20,23,34,98,<20,425,354
16470,Queanbeyan (C),<20,38,"2,726",30,662,29,165,319,<20,"1,181","2,033","1,839","1,438",157,668,68,395,<20,"4,642",<20,<20,<20,<20,20,<20,145,135
16550,Randwick (C),81,74,"10,714",319,"2,138",62,721,"2,377",<20,"3,223","4,433","3,875","4,877","1,461","2,339",184,632,22,"16,151",<20,52,<20,<20,115,<20,210,"1,876"
16610,Richmond Valley (A),<20,120,"3,605",36,"1,085",50,534,286,<20,"1,774","2,244","1,810","2,014",266,"1,103",180,466,<20,"6,915",<20,<20,<20,35,27,<20,230,99
16650,Rockdale (C),<20,20,"11,485",220,"2,934",73,"1,221","1,458",<20,"2,785","6,636","5,673","5,742","1,177","2,650",622,693,42,"17,305",23,60,37,24,176,<20,213,"1,041"
16700,Ryde (C),22,<20,"9,940",289,"1,799",56,659,"1,855",<20,"2,412","4,818","4,168","4,336","1,272","1,666",303,340,<20,"14,118",20,94,<20,<20,145,<20,94,"1,285"
16900,Shellharbour (C),41,119,"8,550",89,"2,661",79,"1,085",401,<20,"3,402","5,334","4,777","4,033",660,"2,093",271,"1,097",50,"15,281",27,<20,29,32,102,<20,477,499
16950,Shoalhaven (C),57,234,"17,789",129,"4,087",87,"1,891","1,585",<20,"5,934","7,831","6,521","6,823",938,"3,912",496,"1,511",81,"28,867",40,<20,40,65,150,<20,752,487
17000,Singleton (A),<20,<20,"1,690",<20,507,28,159,262,<20,715,"1,178","1,294","1,030",132,526,44,283,<20,"3,068",<20,<20,<20,<20,20,<20,117,70
17050,Snowy River (A),<20,<20,608,<20,104,<20,37,104,<20,164,438,315,281,34,136,<20,42,<20,882,<20,<20,<20,<20,<20,<20,<20,<20
17100,Strathfield (A),<20,<20,"2,532",110,623,<20,263,511,<20,701,"2,210","1,871","1,988",479,847,189,131,<20,"4,038",<20,44,<20,<20,70,<20,46,492
17150,Sutherland Shire (A),38,45,"21,961",314,"3,874",259,986,"4,469",<20,"3,680","9,312","8,203","7,230","1,556","3,103",266,"1,197",22,"29,185",37,44,<20,<20,155,<20,334,"1,446"
17200,Sydney (C),152,138,"8,620",839,"1,745",31,907,"1,140",<20,"6,594","3,815","3,434","7,644","2,117","5,198",192,655,22,"18,409",26,113,21,<20,183,<20,335,"2,535"
17310,Tamworth Regional (A),54,328,"7,575",43,"1,766",54,761,694,<20,"2,706","5,088","4,188","4,087",422,"2,252",278,"1,259",34,"13,153",20,<20,20,26,56,<20,515,223
17350,Temora (A),<20,<20,"1,019",<20,185,<20,84,132,<20,268,474,374,325,53,165,26,88,<20,"1,526",<20,<20,<20,<20,<20,<20,27,21
17400,Tenterfield (A),<20,35,"1,138",<20,252,<20,142,125,<20,539,580,486,596,93,405,53,120,<20,"2,105",<20,<20,<20,<20,<20,<20,45,<20
17420,The Hills Shire (A),<20,<20,"13,583",324,"2,829",125,726,"3,520",<20,"2,193","7,975","7,034","6,087","1,590","1,895",347,625,26,"17,975",29,92,<20,<20,162,<20,128,"1,392"
17450,Tumbarumba (A),<20,<20,502,<20,103,<20,48,49,<20,132,235,193,167,<20,94,<20,32,<20,756,<20,<20,<20,<20,<20,<20,<20,<20
17500,Tumut Shire (A),<20,31,"1,658",<20,312,<20,135,191,<20,520,869,736,644,61,364,49,148,<20,"2,612",<20,<20,<20,<20,<20,<20,72,24
17550,Tweed (A),59,148,"15,512",229,"3,471",75,"1,397","1,290",<20,"5,317","7,343","6,079","6,656",993,"3,910",507,"1,363",39,"25,227",44,<20,48,51,161,<20,661,654
17620,Upper Hunter Shire (A),<20,<20,"1,678",<20,307,<20,123,228,<20,425,840,804,655,74,348,45,177,<20,"2,554",<20,<20,<20,<20,<20,<20,69,31
17640,Upper Lachlan Shire (A),<20,<20,"1,021",<20,189,<20,61,226,<20,265,488,391,401,88,167,32,57,<20,"1,481",<20,<20,<20,<20,<20,<20,30,40
17650,Uralla (A),<20,<20,829,<20,182,<20,76,99,<20,309,522,383,428,73,193,34,76,<20,"1,369",<20,<20,<20,<20,<20,<20,42,45
17700,Urana (A),<20,<20,200,<20,52,<20,29,33,<20,82,116,87,73,<20,36,<20,<20,<20,340,<20,<20,<20,<20,<20,<20,<20,<20
17750,Wagga Wagga (C),54,130,"5,951",128,"1,484",99,528,815,<20,"2,315","4,502","3,675","4,101","1,130","1,599",249,960,<20,"10,315",<20,<20,<20,<20,34,<20,375,"1,342"
17800,Wakool (A),<20,<20,611,<20,84,<20,41,97,<20,151,272,203,242,60,111,<20,37,<20,874,<20,<20,<20,<20,<20,<20,<20,<20
17850,Walcha (A),<20,<20,381,<20,60,<20,29,117,<20,130,243,175,188,35,98,<20,31,<20,615,<20,<20,<20,<20,<20,<20,<20,<20
17900,Walgett (A),<20,101,864,<20,324,<20,222,84,<20,712,698,606,806,38,571,33,236,<20,"2,180",<20,<20,<20,<20,<20,<20,114,<20
17950,Warren (A),<20,33,320,<20,78,<20,29,73,<20,116,210,165,180,<20,133,<20,50,<20,556,<20,<20,<20,<20,<20,<20,21,<20
18000,Warringah (A),<20,23,"13,303",173,"1,821",81,480,"3,428",<20,"2,237","5,717","4,867","4,071",796,"1,707",189,593,<20,"17,271",25,27,<20,<20,89,<20,145,770
18020,Warrumbungle Shire (A),<20,44,"1,613",<20,369,<20,193,174,<20,618,778,634,719,90,415,51,168,<20,"2,740",<20,<20,<20,<20,<20,<20,79,33
18050,Waverley (A),<20,<20,"3,915",162,715,<20,209,"1,109",<20,988,"1,609","1,432","1,875",386,"1,019",95,201,<20,"5,650",<20,<20,<20,<20,41,<20,50,444
18100,Weddin (A),<20,<20,681,<20,149,<20,75,106,<20,230,265,209,197,26,99,<20,39,<20,"1,067",<20,<20,<20,<20,<20,<20,22,<20
18150,Wellington (A),21,88,"1,243",<20,309,<20,146,132,<20,568,808,681,721,54,463,43,244,<20,"2,351",<20,<20,<20,<20,<20,<20,94,26
18200,Wentworth (A),<20,42,860,<20,237,<20,137,97,<20,373,553,458,519,87,299,41,112,<20,"1,599",<20,<20,<20,<20,<20,<20,53,23
18250,Willoughby (C),<20,<20,"4,023",139,665,25,166,"1,697",<20,773,"2,057","1,811","1,930",504,751,95,151,<20,"5,420",<20,42,<20,<20,60,<20,37,518
18350,Wingecarribee (A),<20,<20,"6,718",62,"1,144",44,383,"1,304",<20,"1,583","2,854","2,400","1,973",258,862,141,426,<20,"9,488",22,<20,<20,<20,43,<20,124,164
18400,Wollondilly (A),<20,24,"3,872",47,"1,275",107,422,427,<20,"1,088","2,976","2,596","2,085",341,788,92,520,<20,"6,291",<20,<20,<20,<20,47,<20,154,244
18450,Wollongong (C),122,186,"26,597",514,"6,809",176,"2,735","2,280",<20,"9,614","12,459","11,325","12,878","3,271","6,690",801,"2,318",125,"44,073",57,<20,83,65,235,<20,"1,100","3,521"
18500,Woollahra (A),<20,31,"2,174",106,372,<20,80,"1,282",<20,463,858,776,"1,110",260,591,38,92,<20,"2,958",<20,<20,<20,<20,<20,<20,<20,403
